Name,Sport(s),Address,Booking Link,Amenities/Notes
UQ Sport Tennis Centre,"Tennis, Pickleball","The University of Queensland, Blair Dr, St Lucia QLD 4067",https://uqsport.com.au/venues/tennis-centre/,21 tennis courts; 2 pickleball courts; pro shop; cafe; changerooms
Brisbane City Indoor Sports,Futsal,"8 Castlemaine St, Coorparoo QLD 4151",https://www.brisbanecityindoorsports.com.au/booking/court-hire/,Indoor courts; equipment supplied; umpire services
Shaw Park Tennis Centre,Pickleball,"128 Shaw Rd, Wooloowin QLD 4030",https://shawparktennis.com.au/pickleball/,Coaching; social sessions; equipment hire
Morningside Tennis Centre,Pickleball,"123 Beverley St, Morningside QLD 4170",https://morningsidetennis.com.au/pickleball/,Dedicated courts; coaching; equipment hire
Malpass Tennis (East Brisbane),Pickleball,"Heath Park, East Brisbane QLD 4169",https://malpasstennis.com.au/pickleball-court-hire/,8 pickleball courts; equipment hire; group sessions
Matchpoint Tennis – North Lakes,"Tennis, Pickleball","North Lakes State College, Joyner Cct, North Lakes QLD 4509",https://www.matchpoint.net.au/court-hire/,4 hard courts; 8 pickleball lined courts; pro shop
The Gap Tennis Club,Pickleball,"200 Settlement Rd, The Gap QLD 4061",https://thegaptennisclub.com.au/index.php/programs/pickle-ball/,2 dedicated pickleball courts; 4 multi-purpose courts; equipment hire
Padel Brisbane,Padel,"200 Settlement Rd, The Gap QLD 4061",https://padelbrisbane.co/book-a-court/,Padel courts; social sessions; coaching
Rebound Stadium,"Futsal, Pickleball","23 Foster St, Newmarket QLD 4051",https://www.reboundstadium.com.au/book-online,Indoor courts; equipment hire
Sports Parc,"Futsal, Pickleball","30 Bishop St, Kelvin Grove QLD 4059",https://sportsparc.com.au/court-hire,Indoor courts; flexible booking; equipment hire
Roy Emerson Tennis Centre,Tennis,"315 Milton Rd, Milton QLD 4064",https://emersontennis.com.au/,6 courts; rebound wall; kiosk; part of Frew Park
Queensland Tennis Centre,Tennis,"190 King Arthur Tce, Tennyson QLD 4105",https://www.queenslandtenniscentre.com.au/,23 courts incl. clay/grass/hard; Pat Rafter Arena; cafe; pro shop
New Farm Park Tennis Courts,Tennis,"1042 Brunswick St, New Farm QLD 4005",https://www.brisbane.qld.gov.au/facilities-recreation/sports-leisure/tennis-courts/new-farm-park-tennis-courts,Park courts; scenic setting; council information page
West End Tennis Club,Tennis,"39 Vulture St, West End QLD 4101",https://www.westendtennisclub.com.au/,Community club; court hire; coaching
Wynnum Tennis Centre,Tennis,"Colina St, Wynnum QLD 4178",https://www.tennis.com.au/queensland/clubs/wynnum-tennis-centre,Courts; coaching; club programs

