Venue Name,Sports,Address,Suburb,Booking Method / URL,Operator / Authority,Description
Flagstaff Gardens Tennis Courts,Tennis,309–311 William St,West Melbourne,Active Melbourne (YMCA) online booking,City of Melbourne (YMCA Victoria),2 outdoor hard courts with floodlights; code access after online booking; public park location.
Docklands Sports Courts,"Soccer,Futsal",68–90 Harbour Esplanade,Docklands,Active Melbourne – email request for exclusive hire,City of Melbourne (YMCA Victoria),2 outdoor multi‑purpose synthetic courts; removable goals; floodlit; casual walk‑up or paid exclusive bookings.
Northcote Tennis Courts (McDonell Park),Tennis,180 Victoria Rd,Northcote,Tennis Australia – Book a Court (online),Darebin City Council,6 outdoor synthetic grass courts; PIN code entry after online payment; community precinct.
John Cain Memorial Park Courts,Tennis,281 Clarendon St (John Cain Park),Thornbury,Council booking (Darebin Leisure),Darebin City Council,4 outdoor hard courts with lights; part of larger sports precinct near Narrandjeri Stadium.
Boroondara Tennis Centre,Tennis,150 Bulleen Rd,Balwyn North,Centre website / phone (public hire),City of Boroondara (operated by Maher’s Tennis),"23 floodlit courts: synthetic grass, cushioned hard, synthetic clay & Euro clay; café, pro shop, change rooms."
Tennis World – Melbourne Park (National Tennis Centre),Tennis,"Olympic Blvd (Entrance D), Melbourne Park",Richmond,Tennis World online booking,Melbourne & Olympic Parks / Tennis Australia,22 outdoor & 8 indoor hard courts (all floodlit); additional clay courts; public hire daily; pro facilities.
Tennis World – Albert Reserve,Tennis,46 Queens Rd,South Melbourne,Tennis World online booking,Melbourne & Olympic Parks / Tennis Australia,9 outdoor hard courts with lights; historic venue near Albert Park Lake; pro shop and parking.
Fawkner Park Tennis Centre,Tennis,65 Toorak Rd West,South Yarra,Victorian Tennis Academy (online),City of Melbourne (leased to VTA),"6 outdoor synthetic grass courts with new surfacing and LED lights; clubhouse, pro shop, showers, kiosk."
Powlett Reserve Tennis Centre,Tennis,Cnr Albert St & Simpson St,East Melbourne,Victorian Tennis Academy (online),City of Melbourne (leased to VTA),5 outdoor synthetic grass courts with lights; community club with clubhouse and change rooms.
Albert Park Tennis & Pickleball Centre (Hockey Drive),"Tennis,Pickleball",Hockey Dr (off Fitzroy St),Albert Park,TennisVenues online booking,Parks Victoria (managed by Wesley College),12 synthetic grass courts (with lights) available Oct–Mar; casual hire and coaching; near MSAC.
