Name,Sport(s),Address,Booking Link,Amenities/Notes
Clip 'N Climb North Shore,climbing,"Auckland, New Zealand",https://clipnclimbnorthshore.co.nz/group-bookings,BOOK NOW
Vertical Adventures,climbing,"Auckland, New Zealand",https://verticaladventures.co.nz/booking/,Pricing and booking for Vertical Adventures. Climbing routes for all skill levels! Come and check us out!
SonSk8,skateboard,"Auckland, New Zealand",https://www.sonsk8.co.nz/private-hire,"Explore private hire options at Sonsk8 Indoor Skatepark for parties, 
events, and competitions. Contact us for booking details."
Ritual,yoga,"Auckland, New Zealand",https://www.facebook.com/ritualnz,"Lily &amp; Lotus, Auckland. 727 likes &#xb7; 129 talking about this &#xb7; 102 were here. Lily &amp; Lotus is a family owned &amp; operated concept store &amp; cafe, offering..."
Swimgym Howick,swimming,"2/1 Fencible Drive, Auckland, 2014",https://www.swimgym.org.nz/form,"Use our SwimBot or Use SwimZing to self-assess, send us a message or phone. This is our self-assessment tool to speed up your enrolment into the Swimgym Programme."
AceSports Pro Shop,"tennis, squash","41R Meadowland Drive, Somerville, Auckland, 2014",https://acesports.net.nz/pages/our-coaching-venues,"OUR COACHING VENUES PLAY YOUR A GAME Our professional tennis coaches are available at selected venues throughout Auckland. You are able to book a private lesson at any of the venues listed below, or explore our pre-existing classes now. Our professional tennis coaches are availab"
Northern Rocks,climbing,111 Diana Drive,https://scontent-syd2-1.cdninstagram.com/v/t51.82787-15/516336631_18330584836207429_7431559459870355080_n.jpg?stp=dst-jpg_e35_tt6&#038;_nc_cat=100&#038;ccb=1-7&#038;_nc_sid=18de74&#038;_nc_ohc=VH3SZhKA9SAQ7kNvwHedvAU&#038;_nc_oc=Adk6orez0lVCfl_4gAYACXOIlSkmfGWUVbOu9dur6m283d0gKBBsYLfzShXEVMqGvGA&#038;_nc_zt=23&#038;_nc_ht=scontent-syd2-1.cdninstagram.com&#038;edm=ANo9K5cEAAAA&#038;_nc_gid=eIGjcoG7yEwEB8zJ83zlWQ&#038;oh=00_AfSsVpVwsl8JpGfI0Otv6C1XT0LnqJ4c1pbRq2wV2twFcA&#038;oe=68820409,
Synergy Sports,,44 Portage Road,https://synergysports.co.nz/booking/,"Badminton courts are available at 38 Portage Road, New Lynn on:"
The UMMA Trust - Muslim Youth,,1025,https://www.facebook.com/theummatrust/,"The Umma Trust, Auckland. 1,051 likes &#xb7; 1 was here. The Umma Trust provides a place to gain support and resources for Refugee, migrant and Muslim..."
Shotokan Karate-do,,13 Pūriri Street,https://shotokantimes.com/2019/08/15/hirokazu-kanazawa-the-life-of-a-shotokan-legend,
