Name,Sport(s),Address,Booking Link,Amenities/Notes
Litis Stadium,Soccer,"41 Britannia Road, Leederville WA 6009",https://www.spacetoco.com/space/litis-stadium,Floodlights; seasonal availability; club room available separately; managed by City of Vincent
Perth Soccer Club - Dorrien Gardens,Soccer,"Dorrien Gardens, Perth WA",https://www.perthsc.com.au/facility-hire/,"Two synthetic all-weather pitches; changerooms; main pitch with 500 lux lighting; 500 seat grandstand"
The Football Centre,Soccer (5-a-side),"Osborne Park, Perth WA",https://footballcentre.com.au/group-bookings/,"Indoor soccer pitch; venue hire $150/hour; showers and drinks available; equipment provided"
Belmont Oval,Soccer,"Belmont WA",https://www.spacetoco.com/space/belmont-oval,"Two full size ovals; soccer goals; lighting available for additional cost; winter season use"
Lucius Park,Soccer,"Spearwood WA",https://www.spacetoco.com/space/spearwood-wa-lucius-park,"Two full size soccer pitches; changerooms and toilets; limited lighting available; managed by City of Cockburn"
Watsons Oval,Soccer,"Spearwood WA",https://www.spacetoco.com/space/spearwood-wa-watsons-oval,"Two full size soccer pitches; training standard floodlighting; managed by City of Cockburn"
South Coogee Reserve,Soccer,"Munster WA",https://www.spacetoco.com/space/munster-wa-south-coogee-reserve-2,"Cricket and soccer pitch; adjacent clubroom facilities; managed by City of Cockburn"
Arena Joondalup,Soccer,"Joondalup WA",https://www.arenajoondalup.com.au/sport/social-sport/futsal-and-soccer,"Outdoor artificial turf; 6-a-side soccer; Wednesday/Tuesday evenings; A and B divisions"
Maccabi WA Facilities,Soccer,"Perth WA",https://maccabi.com.au/wa/members-wa/facility-hire/,"Multiple soccer pitches; Joe (Yossi) Rosen Oval main pitch; Adonis Park fully flood lit; well-maintained grounds"
Lords Recreation Centre,Futsal,"Subiaco WA",https://www.lords.com.au/court-bookings/sports-courts,"Multipurpose wooden courts; $56/hour casual hire; four courts available; suitable for basketball, futsal, netball, volleyball"
AH Sport Centre,Futsal,"Perth WA",https://ahsport.net/for-hire/court-hire/,"Indoor soccer/futsal courts; fully air-conditioned; $57/hour full court, $36/hour half court; 2 courts available"
Murdoch University - Indoor Courts,Futsal,"Murdoch University, Perth WA",https://www.murdoch.edu.au/murdoch-active/facilities-and-hiring,"Indoor multi-use courts; full-sized sports hall for futsal/soccer; equipment hire available; email active@murdoch.edu.au"
Cockburn ARC,Futsal,"Cockburn WA",https://www.cockburnarc.com.au/Visit/Booking-Enquiry,"Sports stadium; maximum 3 futsal courts; minimum 1-hour booking; community rate $59/hour full court, $33/hour half court"
City of Bayswater - The Rise,Futsal,"Bayswater WA",https://bayswaterrec.wa.gov.au/the-rise/social-sports-court-hire/,"Sports courts available for hire; suitable for futsal, basketball, netball, soccer; contact 9208 2400 for booking"
Alder Park Sports Club,Futsal,"Perth WA",https://www.alderparksportsclub.com/futsal-courts,"2 synthetic fully netted futsal courts; $80/hour; Under 16s only; flat sole futsal shoes required; weather dependent"
UWA Recreation and Fitness Centre,Futsal,"35 Stirling Highway, Perth WA 6009",https://www.uwa.edu.au/sport/venue-hire/venue-hire,"Indoor soccer courts available; part of comprehensive sports facilities; contact for availability and rates"
City of Stirling - Hamersley Sports Court,Futsal,"Belvedere Road, Hamersley WA 6022",https://www.stirling.wa.gov.au/stirling-leisure/venue-and-facility-hire/sports-court-hamersley-sl,"Multi-purpose court; timber sprung floor; suitable for soccer/futsal; $33/hour community rate, $50/hour commercial"
