Name,Sport(s),Address,Booking Link,Amenities/Notes
Rushcutters Bay Park Tennis Courts,Tennis,"Waratah Ave, Rushcutters Bay NSW 2011",https://play.tennis.com.au/rushcuttersbayparktenniscourts/Booking/BookByDate,Public park; floodlights; ClubSpark booking
Birchgrove Tennis Centre,Tennis,"Cnr Louisa Rd & Rose St, Birchgrove NSW 2041",https://play.tennis.com.au/birchgrovetenniscentre/Booking/BookByDate,6 courts; clubhouse; BBQ
Five Dock Park Tennis Centre,Tennis,"20B Barnstaple Rd, Five Dock NSW 2046",https://www.tennisvenues.com.au/booking/five-dock-tc,Synthetic grass; lights
Croker Park Tennis Courts (Five Dock),Tennis,"1C Henley Marine Dr, Five Dock NSW 2046",https://www.tennisvenues.com.au/booking/croker-park-tc,2 hard courts; lights
Prince Alfred Park – City Community Tennis,Tennis,"105 Chalmers St, Surry Hills NSW 2010",https://play.tennis.com.au/citycommunitytennisprincealfredpark/Booking/BookByDate,AO surface; lights; pro shop; PIN access
Cooper Park Tennis,Tennis,"Bellevue Rd, Bellevue Hill NSW 2023",https://cooperparktennis.com.au/book-a-court,Lights; shop
Centennial Parklands Tennis (Moore Park),Tennis,"Cnr Anzac Pde & Lang Rd, Moore Park NSW 2021",https://parklandssports.com.au/court-hire/,Self-service access; parking validation (late)
White City Tennis,Tennis,"21A Manning Rd, Double Bay NSW 2028",https://www.whitecitytennis.com.au/court-hire,Live availability; lights
Latham Park Tennis Centre (South Coogee),Tennis,"Henning Ave, South Coogee NSW 2034",https://lathamparktennis.com.au/court-hire/,Quick-drying courts; clubhouse; lights
Snape Park Tennis Centre (Maroubra),Tennis,"Snape Park, Maroubra NSW 2035",https://www.oz-tennis.com/,6 artificial + 1 hard; floodlit
Heffron Park Tennis Centre (Matraville),"Tennis, Pickleball","417–439 Bunnerong Rd, Matraville NSW 2036",https://play.tennis.com.au/heffronparktenniscentre,1 acrylic show + 9 synthetic; kiosk; pickleball
InDeep Tennis (Darlinghurst),Tennis,"1A Barcom Ave, Darlinghurst NSW 2010",https://www.indeep.com.au/book-online,AO blue courts; eligibility rules
Sydney Uni Sport – Tennis Courts,Tennis,"Darlington Rd, Darlington NSW 2008",https://susf.com.au/tennis-court-hire/,Online booking; hire available
Croydon Tennis Centre,Tennis,"128-132 Frances St, Lidcombe NSW 2141",https://www.croydontenniscentre.com.au/tennis-court-hire,Online bookings; doubles allowed
Lane Cove Tennis Club,Tennis,"Central Park, Kenneth St, Longueville NSW 2066",https://tennisbcs.com.au/book-court/,5 artificial grass courts
Lane Cove West Tennis Club,Tennis,"Lloyd Rees Dr, Lane Cove West NSW 2066",https://play.tennis.com.au/lanecovewesttennisclub/Booking/BookByDate,Floodlights
Miller Park Tennis Club (Lane Cove North),Tennis,"38A Mowbray Rd, Lane Cove North NSW 2066",https://play.tennis.com.au/millerparktennisclub/booking/bookbydate,Floodlights
Mosman Lawn Tennis Club,Tennis,"2 Sinclair St, Mosman NSW 2088",https://www.tennisvenues.com.au/booking/mosman-lawn-tc,6 synthetic courts; LED lights
Keirle Park Tennis Centre (Manly),Tennis,"277 Pittwater Rd, Manly NSW 2095",https://www.keirleparktennis.com.au/bookings,6 floodlit synthetic courts
Mona Vale Tennis Club,Tennis,"Kitchener Park, Pittwater Rd, Mona Vale NSW 2103",https://www.monavaletennis.com.au/bookings,4 synthetic grass; clubhouse; lights
North Narrabeen Community & Tennis Centre,Tennis,"2 Nareen Parade, North Narrabeen NSW 2101",https://www.northernbeaches.nsw.gov.au/things-to-do/recreation-area/north-narrabeen-community-tennis-centre,PIN access; clubroom; showers; toilets
Newport Community Centre (Tennis),Tennis,"11–13 The Boulevarde, Newport NSW 2106",https://www.northernbeaches.nsw.gov.au/things-to-do/recreation-area/newport-community-centre,2 courts; PIN access; lights; accessible toilets
Killara Park Tennis Courts (KRG),Tennis,"Rosebery Rd, Killara NSW 2071",https://krg.bookable.net.au/venues/48/killara-park-tennis-courts,Lights; shelter
The Glade Reserve Tennis Courts (KRG),Tennis,"Glade Ave, Wahroonga NSW 2076",https://krg.bookable.net.au/venues/12/the-glade-reserve-tennis-courts,Council venue
Lindfield Soldiers Memorial Park Courts (KRG),Tennis,"79A Tryon Rd, Lindfield NSW 2070",https://krg.bookable.net.au/venues/8/lindfield-soldiers-memorial-park-tennis-courts,2 courts; floodlights
Robert Pymble Park Courts (KRG),Tennis,"4 Myrtle St, Pymble NSW 2073",https://krg.bookable.net.au/venues/54/robert-pymble-park-tennis-courts,Council venue
Allan Small Park Courts (KRG),Tennis,"Cnr Rosedale Rd & Quarry St, Pymble NSW 2073",https://krg.bookable.net.au/venues/30/allan-small-park-tennis-courts,Lights
Gordon Recreation Ground Courts (KRG),Tennis,"Werona Ave, Gordon NSW 2072",https://krg.bookable.net.au/venues/35/gordon-recreation-ground-tennis-courts,Council venue
Kendall Village Green Courts (KRG),Tennis,"Kendall St, West Pymble NSW 2073",https://krg.bookable.net.au/venues/37/kendall-village-green-tennis-courts,Council venue
St Ives Village Green Courts (KRG),Tennis,"Memorial Ave, St Ives NSW 2075",https://krg.bookable.net.au/venues/50/st-ives-village-green-tennis-courts,4 floodlit courts
Warrimoo Oval Courts (KRG),Tennis,"Warrimoo Ave, St Ives NSW 2075",https://krg.bookable.net.au/venues/51/warrimoo-oval-tennis-courts,3 floodlit courts; BBQ; playground
