Name,Sport(s),Address,Booking Link,Amenities/Notes
Flagstaff Gardens Tennis Courts,Tennis,"309–311 William St, West Melbourne VIC",https://activemelbourne.ymca.org.au/,2 outdoor hard courts with floodlights; code access after online booking; public park location.
Docklands Sports Courts,"Soccer; Futsal","68–90 Harbour Esplanade, Docklands VIC",https://activemelbourne.ymca.org.au/,2 outdoor multi-purpose synthetic courts; removable goals; floodlit; casual walk-up or paid exclusive bookings.
Northcote Tennis Courts (McDonell Park),Tennis,"180 Victoria Rd, Northcote VIC",https://play.tennis.com.au/,Tennis Australia – Book a Court.
John Cain Memorial Park Courts,Tennis,"281 Clarendon St (John Cain Park), Thornbury VIC",https://www.darebin.vic.gov.au/,4 outdoor hard courts with lights; part of larger sports precinct near Narrandjeri Stadium.
Boroondara Tennis Centre,Tennis,"150 Bulleen Rd, Balwyn North VIC",https://www.boroondaratenniscentre.com.au/,23 floodlit courts; café; pro shop; change rooms.
Tennis World – Melbourne Park (National Tennis Centre),Tennis,"Olympic Blvd (Entrance D), Richmond VIC",https://tennisworld.perfectgym.com.au/clientportal2,22 outdoor & 8 indoor hard courts (all floodlit); additional clay courts; public hire daily; pro facilities.
Tennis World – Albert Reserve,Tennis,"46 Queens Rd, South Melbourne VIC",https://tennisworld.perfectgym.com.au/clientportal2,9 outdoor hard courts with lights; historic venue near Albert Park Lake; pro shop and parking.
Fawkner Park Tennis Centre,Tennis,"65 Toorak Rd West, South Yarra VIC",https://www.victennisacademy.com.au/,6 outdoor synthetic grass courts; LED lights; clubhouse, pro shop, showers, kiosk.
Powlett Reserve Tennis Centre,Tennis,"Cnr Albert St & Simpson St, East Melbourne VIC",https://www.victennisacademy.com.au/,5 outdoor synthetic grass courts with lights; community club with clubhouse and change rooms.
Albert Park Tennis & Pickleball Centre (Hockey Drive),"Tennis; Pickleball","Hockey Dr (off Fitzroy St), Albert Park VIC",https://www.tennisvenues.com.au/,12 synthetic grass courts (with lights) available Oct–Mar; casual hire and coaching; near MSAC.
Royal Park Tennis Club,Tennis,"333 The Avenue (Royal Park), Parkville VIC",https://play.tennis.com.au/royalparktennisclub,Community club with 10 courts (mix of synthetic & clay); floodlit; online bookings with code access.
Princes Hill Tennis Club,Tennis,"208 Macpherson St (Princes Park), Carlton North VIC",https://play.tennis.com.au/princeshilltennisclub,4 floodlit hard courts at Princes Park; public casual bookings via Book-a-Court; small pavilion.
East Preston Park Tennis Club,"Tennis; Pickleball (sessions)","46 Newton St (T.A. Cochrane Reserve), Preston VIC",https://play.tennis.com.au/eastprestonparktennisclub,3 synthetic grass courts with lights; casual public hire online; community clubhouse.
Kingsbury Tennis Club,Tennis,"1C Browning St (KW Joyce Reserve), Kingsbury VIC",https://play.tennis.com.au/kingsburytennisclub,4 floodlit hard courts near La Trobe University; affordable public hire; small clubhouse.
Keon Park Tennis Club,Tennis,"80 Hickford St (J.C. Donath Reserve), Reservoir VIC",https://play.tennis.com.au/keonparktennisclub,4 outdoor courts (recently redeveloped as multi-use); lighting available; community pavilion.
