mel_name,mel_address,db_name,db_address,name_overlap_min,addr_overlap_min,combined
Flagstaff Gardens Tennis Courts,309–311 William St,Flagstaff Gardens Tennis Courts,"309–311 William St, West Melbourne VIC",1.00,1.00,1.00
Docklands Sports Courts,68–90 Harbour Esplanade,Docklands Sports Courts,"68–90 Harbour Esplanade, Docklands VIC",1.00,1.00,1.00
Northcote Tennis Courts (McDonell Park),180 Victoria Rd,Northcote Tennis Courts (McDonell Park),"180 Victoria Rd, Northcote VIC",1.00,1.00,1.00
John Cain Memorial Park Courts,281 Clarendon St (John Cain Park),John Cain Memorial Park Courts,"281 Clarendon St (John Cain Park), Thornbury VIC",1.00,1.00,1.00
Boroondara Tennis Centre,150 Bulleen Rd,Boroondara Tennis Centre,"150 Bulleen Rd, Balwyn North VIC",1.00,1.00,1.00
Tennis World – Melbourne Park (National Tennis Centre),"Olympic Blvd (Entrance D), Melbourne Park",Melbourne Park (National Tennis Centre),"Olympic Blvd (Entrance D), Melbourne VIC 3000",1.00,0.75,0.94
Tennis World – Albert Reserve,46 Queens Rd,Albert Reserve Tennis Centre (Tennis World),"46 Queens Rd, Melbourne VIC 3004",1.00,1.00,1.00
Fawkner Park Tennis Centre,65 Toorak Rd West,Fawkner Park Tennis Centre,"65 Toorak Rd West, South Yarra VIC 3141",1.00,1.00,1.00
Powlett Reserve Tennis Centre,Cnr Albert St & Simpson St,Powlett Reserve Tennis Centre,"Cnr Albert St & Simpson St, East Melbourne VIC 3002",1.00,1.00,1.00
Albert Park Tennis & Pickleball Centre (Hockey Drive),Hockey Dr (off Fitzroy St),Albert Park Tennis & Pickleball Centre (Hockey Drive),"Hockey Dr (off Fitzroy St), Albert Park VIC",1.00,1.00,1.00
Royal Park Tennis Club,333 The Avenue (Royal Park),Royal Park Tennis Club,"333 The Avenue (cnr Park St), Parkville VIC 3052",1.00,1.00,1.00
Princes Hill Tennis Club,208 Macpherson St (Princes Park),Princes Hill Tennis Club,"208 Macpherson St (Princes Park), Carlton North VIC",1.00,1.00,1.00
