Name,Sport(s),Address,Booking Link,Amenities/Notes,Description
"Royal Park Tennis Club",Tennis,"333 The Avenue (cnr Park St), Parkville VIC 3052","https://play.tennis.com.au/royalparktennisclub/court-hire","14 en-tout-cas clay courts; lights; BBQ; playground nearby","Large community club set inside Royal Park near the CBD with 14 en‑tout‑cas courts and online public court hire."
"Fawkner Park Tennis Centre",Tennis,"65 Toorak Rd West, South Yarra VIC 3141","https://www.victennisacademy.com.au/book-a-court-fawkner-park/","6 synthetic grass courts; lights; clubhouse; pro shop","Scenic park‑side venue with six floodlit synthetic grass courts offering casual hire, memberships and coaching programs."
"Powlett Reserve Tennis Centre",Tennis,"153 Simpson St (cnr Albert St), East Melbourne VIC 3002","https://www.victennisacademy.com.au/book-a-court-powlett-reserve/","5 synthetic grass courts; lights; clubhouse; coaching","East Melbourne community centre with five lit synthetic courts, clubhouse facilities and VTA coaching."
"Princes Gardens Tennis Courts (Prahran)",Tennis,"8 Little Chapel St, Prahran VIC 3181","https://play.tennis.com.au/court-hire/PrincesGardensTennisCourts","Public hard courts; lights","Public courts in the Chapel Street precinct, available to book online for casual play under lights."
"Tennis World Melbourne Park (National Tennis Centre)",Tennis,"National Tennis Centre (Level 2), Entrance D, Olympic Blvd, Richmond VIC 3001","https://play.tennis.com.au/opencourtsessions/tennisworldmelbournepark","Indoor & outdoor courts; gym; programs","Tennis World’s flagship at Melbourne Park with indoor/outdoor Plexicushion and Italian clay courts for casual hire and programs."
"Albert Reserve Tennis Centre (Tennis World)",Tennis,"46 Queens Rd, Melbourne VIC 3004","https://play.tennis.com.au/tennisworldmelbourneparkandalbertreserve","Outdoor lit courts; near Albert Park","Tennis World’s city‑fringe venue near Albert Park offering public court hire and social programs."
"Essendon Tennis Club",Tennis,"Clifton Park Reserve, Batman St, Essendon VIC 3040","https://play.tennis.com.au/court-hire/EssendonTennisClub","10 courts; lights; BBQ; function room","Historic community club at Clifton Park with ten courts (mix of en‑tout‑cas and synthetic clay) and online casual hire."
"Hampton Tennis Club",Tennis,"5 Grenville St, Hampton VIC 3188","https://www.tennisvenues.com.au/booking/hampton-tennis-club","4 cushioned hard courts; lights; clubhouse","Friendly bayside club with four cushioned hard courts and lights; casual bookings available via TennisVenues."
"Malvern Tennis Centre (Stonnington)",Tennis,"43A Union St, Armadale VIC 3143","https://www.netsports.com.au/book-a-court","5 synthetic grass courts; lights; café; playground adjacent","Stonnington Tennis Centres site with five synthetic grass courts, clubrooms and café; bookable 7 am–10 pm daily."
"Caulfield Park Tennis Centre (VTA)",Tennis,"280 Balaclava Rd, Caulfield North VIC 3161","https://www.victennisacademy.com.au/book-a-court-caulfield-park/","5 synthetic grass courts; lights; clubhouse; pro shop","Picturesque VTA‑run centre in Caulfield Park with five floodlit synthetic courts, coaching and social play."
